label,text
Pos,Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is
Pos,@Apple will be adding more carrier support to the iPhone 4S (just announced)
Pos,Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY
Pos,@RIM you made it too easy for me to switch to @Apple iPhone. See ya!
Pos,I just realized that the reason I got into twitter was ios5 thanks @apple
Pos,I'm a current @Blackberry user little bit disappointed with it! Should I move to @Android or @Apple @iphone
Pos,Great up close & personal event @Apple tonight in Regent St store!
Pos,From which companies do you experience the best customer service aside from @zappos and @apple?
Pos,Just apply for a job at @Apple hope they call me lol
Pos,RT @JamaicanIdler: Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to h ...
Pos,Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol
Pos,RT @PhillipRowntree: Just registered as an @apple developer... Here's hoping I can actually do it... Any help greatly appreciated!
Pos,Just registered as an @apple developer... Here's hoping I can actually do it... Any help greatly appreciated!
Pos,! Currently learning Mandarin for my upcoming trip to Hong Kong. I gotta hand it to @Apple iPhones & their uber useful flashcard apps
Pos,Come to the dark side @gretcheneclark: Hey @apple if you send me a free iPhone I will publicly and ceremoniously burn my #BlackBerry.
Pos,Thank you @apple for Find My Mac - just located and wiped my stolen Air. #smallvictory #thievingbastards
Pos,Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today out of warranty.
Pos,@DailyDealChat @apple Thanks!!
Pos,@apple..good ipad
Pos,@apple @siri is efffing amazing!!
Pos,RT @TripLingo: We're one of a few Featured Education Apps on the @Apple **Website** today sweet! http://t.co/0yWvbe1Z
Pos,When you want something done right you do it yourself... or go to @Apple. AT&T you're useless these days. #yourdaysarenumbered
Pos,&lt;3 #ios5 @apple
Pos,--- RT @Apple No question bro. RT @AintEeenTrippin: Should I get dis iPhone or a EVO 3D?
Pos,RT @imightbewrong: I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   : ...
Pos,I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   :)  Way to go @Apple!
Pos,@Twitter CEO points to @Apple as 'corporate mentor' as @iOS signups triple http://t.co/GCY8iphN
Pos,At the bus with my iPhone ;) thxx @apple
Pos,NYTimes: Coach Wants to See You. And Bring Your iPad. http://t.co/J2FTiEnG #iPad @apple set red 42 red 42 hut hut @NFL wish I had an #iPad
Pos,@apple @jilive @DanielPink: Apple sells 4 million iPhone 4S units in first weekend ... Steve Jobs brilliance lives on for ever! #iphone #RVA
Pos,@bkad5161 than apologize to @apple ;)
Pos,@Apple downloads of iOS 5 are proving popular with users  -- http://t.co/NSHLfiUX
Pos,Lmfao look at the argument I had with Siri !!@ijustine @apple http://t.co/D4VjL7SI
Pos,Incredible: 4 million iPhone 4Ss in 3 days. 135% better than the iPhone 4 http://t.co/1FMJxTMM @apple #iphone4s
Pos,Well @apple fixed my #ios5 battery drain problem with a replacement iPhone 4 -- it's working like a champ now
Pos,Currently ordering a BRAND NEW MACBOOK PRO!!! Bahhh... my MacBook is 5 years old. I'll miss it. But it's time. cc: @Apple -
Pos,you are so blessed. @apple
Pos,#Siri now knows who my dad mom brother and girlfriend is.  Thanks @apple
Pos,Well at least the @apple store has amazing call waiting music! #need4s
Pos,loving new technology from @apple iPhone 4s mac air and iCloud are unreal #technology
Pos,I'm loving this new IOS5 update :) @apple
Pos,Another mention for Apple Store: http://t.co/fiIOApKt - RT @floridamike Once again getting great customer service from the @apple store ...
Pos,Thank you @apple. My new gf(iphone4s) is great!  She does everything!
Pos,#iCloud set up was flawless and works like a champ! To the Cloud @Apple
Pos,@Wisconsin_Mommy @Apple I'd totally email the company... I always get great service at our @Apple store!
Pos,@apple loving the new IOS5 upgrade for the iPhone!
Pos,The nice @apple tech support guy fixed my iTouch =D
Pos,Once again getting great customer service from the @apple store at millenia mall.
Pos,Is it just me or is #iOS5 faster for the iPad? @apple
Pos,I love our @apple imac even though I haven't seen my hubby in 3 days now! #geek
Pos,making the switch from @Android to @Apple #iphone #iphone4S #smartphone #stevejobs (@ Apple Store) http://t.co/kj6pJvkH
Pos,So THANKFUL for the incredible people @apple for going above and beyond and offering to and replacing my  water-damaged Macbook Pro!!! Wow!
Pos,Play on ma man. Loving the camera in the #iphone4s. Well done @apple  #fb http://t.co/tmdFqRe1
Pos,So yeah... @apple #iOS5 #readinglists have changed my life. #nowicanspendevenmoretimeonmyphone.
Pos,@Apple Safari Reader owns the worldwide web
Pos,I love @apple service . My case has cracked 3x and I go in and they hand me a case and I walk out
Pos,#10twitterpeopleiwouldliketomeet @coollike @TheGadgetShow  @thelittleappkid @Jon4Lakers @BenRubery @Apple @twitter @FXhomeHitFilm  (-2)
Pos,Apple sells 4 million iPhones in 3 days @apple keep doing what you are doing because you are doing it well! http://t.co/ZZc6bE0w
Pos,Yessss! I'm lovin the iPhone update especially the slide down bar at top of screen =) good job @Apple.
Pos,4 millions in a weekend 16 #iPhone4S per second. This is madness?! no this is @Apple !!!
Pos,.@apple you got me. I'm now invested. MacBook Pro next year. Time to get on selling more of my #android gear
Pos,@iancollinsuk @apple I like what you did there...!
Pos,Sorry @BlackBerry I'm moving to @Apple.
Pos,@KostaTsetsekas @apple Putting it in the wash is kind of the equivalent to Will it blend? Glad to hear it's still alive.
Pos,Bravo @Apple! http://t.co/BgoTzj7K
Pos,God Bless @YouTube @apple for  #appletv & our bad ass system. LOVING #PrincessOfChina. GB to @coldplay & @rihanna too :)
Pos,Been off twitter for a few days as I smashed my iPhone but @apple were very nice and gave me a new one :)
Pos,One word - #wow. RT @jldavid iPhone 4S First Weekend Sales Top Four Million: http://t.co/Zx5Pw0GT (via @apple)
Pos,This good here iPhone will do me VERY well today. Thanks to the gods that are @apple.
Pos,Love ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! #ios5 @apple
Pos,Love #ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! @apple #lovemyiphone
Pos,Gone for a run beautiful morning  man do I love iOS 5 @apple #iPhone
Pos,@apple your simply the best.
Pos,I must admit @apple has made me a very happy camper! I have text tones now! Lol! Ring tone: #MakeMeProud Drakes vers! Text tone: Nicki's
Pos,Day305 I'm thankful for the great customer service received today from @Apple via phone CS new phone on the way #365daysofgratefulness
Pos,S/O to @apple for replacing my phone for free
Pos,@alexlindsay My wife upgraded her iPhone 4. I think Siri alone is worth the upgrade. Looking forward to @Apple continuing to enhance Siri.
Pos,RT @tomkeene Thx @instagram Thx @apple #hypo #D-76 #tri-x http://t.co/BPPJwncp
Pos,@SteveJobs being honored tonite @Apple...A truly great loss to the world.He will so be missed
Pos,Loving my new #iPhone4S thanks @apple for #ios5
Pos,i love this. so much. thank you @apple.  http://t.co/Ui8lOEzX
Pos,@apple the iPhone 4s is great #genius
Pos,@apple Cards app notifies me the card I sent has arrived at local post office and should be delivered today... Sunday. Truly is #magic.
Pos,Love my new I0S5 @Apple updates. Just when I think it can't get any better somehow it simplifies my life more. That's right-it's an Apple.
Pos,@apple Siri is amazing
Pos,Meet #Siri your new iPhone butler. Click the link and be amazed by all it can do: http://t.co/lvfFdCEL @Apple
Pos,So I am using my work PC (NEVER EVER) to get a feel for it; it has the worst speakers ever!! @apple you have spoiled me!! #imamac
Pos,Loving #iOS5 !! #awesome @Apple
Pos,RT @MattyRiesz: @kathrynyee You were right an iPhone is a must have. #addicted {WELCOME TO THE @APPLE CLUB}
Pos,Thank you @apple for your innovations. Exhibit A: Guy playing with Facetime instead of watching game at sports bar. http://t.co/oU7K39ge
Pos,@blackberry boo hiss!............@apple wuhu!!!!!!!! When will my berry powered technology actually work??
Pos,Thank you Steve @apple store 5th av. http://t.co/nSAisriP
Pos,@Apple's Siri is witchcraft.  What's next @googleresearch. 2 yr lead lost?
Pos,@Apple iOS 5 is sweet! Notifications phone search covers mail now wifi sync iCloud backup and integrated Twitter are all well done.
Pos,RT @katebetts: Another great James Stewart story in today's NY Times about importance of architecture in @apple retail success http://t. ...
Pos,Another great James Stewart story in today's NY Times about importance of architecture in @apple retail success http://t.co/Kniz452s
Pos,Welcome to the twitter world @MarkStuver. This is due to #iOS5 and @apple thanks guys.
Pos,Impressive service @apple genius bar metro centre. Power cable replaced free n booked in for screen replacement for free :- D
Pos,RT @deb_lavoy: the nice guy at the @apple store replaced my phone gratis when I showed him the hairline  crack on the screen. thanks @apple
Pos,the nice guy at the @apple store replaced my phone gratis when I showed him the hairline  crack on the screen. thanks @apple
Pos,My iPhone 4S battery lasted longer than a day. That hasn't happened since my edge iPhone. Nice job @apple.
