label,text
Pos,The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace
Pos,Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple
Pos,Hey @apple if you send me a free iPhone (any version will do) I will publicly and ceremoniously burn my #BlackBerry.
Pos,iPads Replace Bound Playbooks on Some N.F.L. Teams http://t.co/2UXAWKwf @apple @nytimes
Pos,Amazing new @Apple iOs 5 feature.  http://t.co/jatFVfpM
Pos,We're one of a few Featured Education Apps on the @Apple **Website** today sweet! http://t.co/0yWvbe1Z
Pos,We did an unexpected workshop for the #iPhone4S at @apple yesterday and we got an awesome amount of info #notjustaboutthephone @gamerchik16
Pos,@azee1v1 @apple @umber AppStore is well done so is iTunes on the mobile devices.  I was talking about desktop app.
Pos,Save me from #HP's unwanted OS! Help me buy an #iPhone! I have seen the light! #lol http://t.co/8gUP9Acz #backchannel @apple
Pos,#sweet... #apple replaced my glass #probono. thank you @apple
Pos,Not Bad! @Apple Sells Over 4 Million #IPhones in Debut Weekend - Bloomberg http://t.co/AVSl3ygU - #smartphone #sm RT @VinodRad
Pos,Time to go get my iPhone 4s.  Looking forward to sticking it to the man by no longer paying for most texts.  Thanks @apple.
Pos,hey @apple I hate my computer i need a #mack wanna send me a free one.
Pos,Said to have laid out the next 4 years @apple.Jobs last iPhone is 2012 not the iPhone4S. iPhone(4G/5) 2012 is magical! http://t.co/DxxklUBp
Pos,Kind of excited. On my way to my last class right now and then going to the @Apple store so buy #MacOSC Snow Leopard and Lion :-)
Pos,i used to be with @blackberry over 4-5yrs .. after all the disruptions and lost gigs thx to their service im moving to @apple #iphone
Pos,I just sent my grandma a post card using my #CardsApp thanks @Apple
Pos,Laundering Ari's iPhone not my finest moment. But after drying in bag of (organic :-) rice for 4 days it booted up!!!!!!!!!!! @apple
Pos,Thank you @Apple iOS 5 for email pop up on the lock screen and opening it when unlocking.
Pos,RT @MN2NOVA: Love ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! #ios5 @apple
Pos,Updated my iOS and started using cloud services. Pretty bad ass @apple my #iPhone 3GS still the champ.
Pos,Loving the new iPod update @apple
Pos,Thx @instagram Thx @apple #hypo #D-76 #tri-x http://t.co/D7EeJHBT
Pos,@rygurl you need an @apple iphone4S with Siri!
Pos,I  @Apple http://t.co/a8on3IAa
Pos,@apple just got the new iOS5 upgrade with iMessage...good luck surviving now @BlackBerry
Pos,@apple by far the best iPod and first time iPhone ever.... Good job guys
Pos,I &lt;3 @apple http://t.co/ondXWpEr
Pos,#iPhone 4S in Space http://t.co/jINNHVwz this is amazing #creative @apple your products inspire people to do unbelievable things
Pos,New iOS 5 update is THE BEST. iloveyou @apple
Pos,Create new folders from within your photo album in #iOS5 finally!! Thanks @Apple that's been a thorn in my side for a while. #newfeature
Pos,#iOS5 update submitted to @apple! Thanks for all the support!
Pos,Awesome service from the @apple store in pc. Thanks chris!
Pos,I am crazy about #iOS5 . The photo cropping is the best! @apple
Pos,@apple has changed life.
Pos,Finally got the @apple IPhone thanks to @sprint getting with the times
Neg,@mashable @apple iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp..
Neg,good article about why @apple fucked it all up with lion and their future. http://t.co/zNDP9Vr6 #fb
Neg,The one #iphone feature still missing since @apple first showed it.. Contacts pictures on the contacts list! Simple yet 5 major updates miss
Neg,@Lisa_Marie1987 shhhh. the evil sith lords @apple may hear you ha!
Neg,Oh @apple. Steve obviously had nothing to do with iPhoto as it's the perfect opposite of 'insanely great'. Get it fixed please.
Neg,OMG @apple WHY THE FUCK DID YOU DELETE ALL MY MUSIC YOU DICKS
